ITERACAO,TEMPO (s),DESLOCAMENTO (m)
552000,9.486867529998467,-.5379998375472536E-01
553000,9.504053884219479,-.5380002272261113E-01
554000,9.521240238440491,-.5380000037979318E-01
555000,9.538426592661502,-.5379992038932699E-01
556000,9.555612946882514,-.5379978998508368E-01
557000,9.572799301103526,-.5379961936747187E-01
558000,9.589985655324536,-.5379942096590268E-01
559000,9.607172009545549,-.5379920854207339E-01
560000,9.624358363766561,-.5379899625891497E-01
561000,9.641544717987573,-.5379879775663981E-01
562000,9.658731072208584,-.5379862529439655E-01
563000,9.675917426429596,-.5379848901205986E-01
564000,9.693103780650608,-.5379839636127046E-01
565000,9.710290134871618,-.5379835172123897E-01
566000,9.727476489092631,-.5379835623060250E-01
567000,9.744662843313643,-.5379840784460246E-01
568000,9.761849197534655,-.5379850156107624E-01
569000,9.779035551755666,-.5379862985281057E-01
570000,9.796221905976678,-.5379878324638446E-01
571000,9.813408260197690,-.5379895100799736E-01
572000,9.830594614418700,-.5379912187484770E-01
573000,9.847780968639713,-.5379928478163705E-01
574000,9.864967322860725,-.5379942957506980E-01
575000,9.882153677081737,-.5379954762547896E-01
576000,9.899340031302748,-.5379963233040365E-01
577000,9.916526385523760,-.5379967946017901E-01
578000,9.933712739744772,-.5379968734480880E-01
579000,9.950899093965782,-.5379965687731084E-01
580000,9.968085448186795,-.5379959137752052E-01
581000,9.985271802407807,-.5379949629513179E-01
582000,10.00245815662882,-.5375390233507282E-01
583000,10.01964451084983,-.5099728002690170E-01
584000,10.03683086507084,-.4438174733533563E-01
585000,10.05401721929185,-.3469096223514238E-01
586000,10.07120357351286,-.2290694513761494E-01
587000,10.08838992773388,-.1011898533610893E-01
588000,10.10557628195489,.2577142243159282E-02
589000,10.12276263617590,.1417945558426606E-01
590000,10.13994899039691,.2386405268247705E-01
591000,10.15713534461792,.3104261557572194E-01
592000,10.17432169883894,.3538975054513668E-01
593000,10.19150805305995,.3684212941837878E-01
594000,10.20869440728096,.3557378940391572E-01
595000,10.22588076150197,.3195290998654068E-01
596000,10.24306711572298,.2648624703146828E-01
597000,10.26025346994399,.1975816773350045E-01
